Serial No,Location,Apartment_size,Bed,Bath,Price,Area
2214,"Block D, Section 10, Mirpur, Dhaka",650,2,2,12000,Mirpur
2215,"Sector 12, Uttara, Dhaka",900,2,2,17000,Uttara
2216,"PC Culture Housing, Mohammadpur, Dhaka",600,2,1,15000,Mohammadpur
2217,"Block D, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
2218,"South Badda, Badda, Dhaka",720,2,2,15000,Badda
2219,"Block D, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur
2220,"Block D, Section 10, Mirpur, Dhaka",650,2,2,15000,Mirpur
2221,"Block B, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur
2222,"Dhanmondi, Dhaka",1300,3,3,25000,Dhanmondi
2223,"Dhanmondi, Dhaka",1300,3,3,25000,Dhanmondi
2224,"Dhanmondi, Dhaka",1100,3,3,45000,Dhanmondi
2225,"Dhanmondi, Dhaka",500,1,1,14000,Dhanmondi
2226,"Faydabad, Dakshin Khan, Dhaka",700,2,2,9000,Dakshin Khan
2227,"Mohammadi Housing LTD., Mohammadpur, Dhaka",1650,4,4,35000,Mohammadpur
2228,"Baitul Aman Housing Society, Adabor, Dhaka",1200,3,3,20000,Adabor
2229,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,13000,Dakshin Khan
2230,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,13000,Dakshin Khan
2231,"Block E, Bashundhara R-A, Dhaka",1530,3,3,25000,Bashundhara
2232,"Tajmahal Road, Mohammadpur, Dhaka",1000,3,3,25000,Mohammadpur
2233,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,3,14000,Dhanmondi
2234,"Section 1, Mirpur, Dhaka",1200,3,3,18000,Mirpur
2235,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,15000,Dakshin Khan
2236,"Mohammadpur, Dhaka",650,2,2,22000,Mohammadpur
2237,"Block G, Banasree, Dhaka",1200,3,3,23000,Banasree
2238,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,15000,Dakshin Khan
2239,"Faydabad, Dakshin Khan, Dhaka",1000,3,2,13000,Dakshin Khan
2240,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,16000,Dakshin Khan
2241,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",700,2,2,14500,Dhanmondi
2242,"Hazaribag, Dhaka",600,2,1,10000,Hazaribag
2243,"Hazaribag, Dhaka",560,2,1,10000,Hazaribag
2244,"Hazaribag, Dhaka",600,2,1,10000,Hazaribag
2245,"Hazaribag, Dhaka",700,2,2,15000,Hazaribag
2246,"West Agargaon, Agargaon, Dhaka",1050,3,2,16000,Agargaon
2247,"Section 2, Mirpur, Dhaka",1100,3,2,15000,Mirpur
2248,"Hazaribag, Dhaka",1200,3,3,22500,Hazaribag
2249,"Hazaribag, Dhaka",1000,3,2,12000,Hazaribag
2250,"Rampura, Dhaka",950,3,2,17000,Rampura
2251,"Sector 13, Uttara, Dhaka",1400,3,3,25000,Uttara
2252,"South Chalabon, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan
2253,"Tajmahal Road, Mohammadpur, Dhaka",650,2,2,17000,Mohammadpur
2254,"Tajmahal Road, Mohammadpur, Dhaka",650,2,2,17000,Mohammadpur
2255,"South Chalabon, Dakshin Khan, Dhaka",500,2,1,8000,Dakshin Khan
2256,"South Chalabon, Dakshin Khan, Dhaka",500,2,1,8000,Dakshin Khan
2257,"RK Mission Road, Gopibag, Motijheel, Dhaka",950,3,2,20000,Motijheel
2258,"North Kamlapur, Kamlapur, Motijheel, Dhaka",1050,3,2,25000,Motijheel
2259,"Maghbazar, Dhaka",1300,3,3,30000,Maghbazar
2260,"Mirpur, Dhaka",800,2,2,15000,Mirpur
2261,"Sector 11, Uttara, Dhaka",1000,2,2,19300,Uttara
2262,"Joar Sahara, Dhaka",750,2,2,14000,Joar Sahara
2263,"Sayednagar, East Vatara, Vatara, Badda, Dhaka",950,2,2,14000,Vatara
2264,"Sayednagar, East Vatara, Vatara, Badda, Dhaka",800,3,2,14000,Vatara
2265,"Sayednagar, East Vatara, Vatara, Badda, Dhaka",800,3,2,14000,Vatara
2266,"Sayednagar, East Vatara, Vatara, Badda, Dhaka",800,3,2,14000,Vatara
2267,"Wari, Sutrapur, Dhaka",600,2,1,18500,Sutrapur
2268,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",800,2,2,12000,Mohammadpur
2269,"Kuril, Dhaka",700,2,2,14000,Kuril
2270,"East Manikdi, Manikdi, Cantonment, Dhaka",500,2,1,11000,Cantonment
2271,"Matikata, Cantonment, Dhaka",650,2,2,13000,Cantonment
2272,"Block B, Section 12, Mirpur, Dhaka",650,2,2,12000,Mirpur
2273,"Block B, Section 12, Mirpur, Dhaka",700,2,2,15000,Mirpur
2274,"Block B, Section 12, Mirpur, Dhaka",650,2,2,11000,Mirpur
2275,"Block B, Section 12, Mirpur, Dhaka",650,2,2,11000,Mirpur
2276,"Khilgaon, Dhaka",600,2,1,11000,Khilgaon
2277,"Sector 10, Uttara, Dhaka",1450,3,3,18000,Uttara
2278,"Sector 9, Uttara, Dhaka",900,2,2,20000,Uttara
2279,"Kadamtala, Bashabo, Dhaka",700,2,2,12500,Kadamtala
2280,"PC Culture Housing, Mohammadpur, Dhaka",600,1,2,12000,Mohammadpur
2281,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,9000,Mirpur
2282,"Senpara Parbata, Section 10, Mirpur, Dhaka",850,3,2,17000,Mirpur
2283,"Block E, Banasree, Dhaka",1100,3,2,20500,Banasree
2284,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,11000,Mirpur
2285,"Badda, Dhaka",900,3,2,19000,Badda
2286,"Sector 13, Uttara, Dhaka",900,2,3,17000,Uttara
2287,"Mohammadpur, Dhaka",650,2,2,16000,Mohammadpur
2288,"West Kafrul, Taltola, Dhaka",950,2,2,16000,Taltola
2289,"Ibrahimpur, Dhaka",650,2,1,8000,Ibrahimpur
2290,"Kallyanpur, Mirpur, Dhaka",950,3,2,14000,Mirpur
2291,"West Shewrapara, Mirpur, Dhaka",500,2,1,8000,Mirpur
2292,"Dhanmondi, Dhaka",1950,3,3,45000,Dhanmondi
2293,"Block E, Section 12, Mirpur, Dhaka",650,2,2,13000,Mirpur
2294,"Block E, Section 12, Mirpur, Dhaka",650,2,2,13000,Mirpur
2295,"Block M, South Banasree Project, Banasree, Dhaka",1050,3,2,16000,Banasree
2296,"Block M, South Banasree Project, Banasree, Dhaka",1050,3,2,16000,Banasree
2297,"Rupnagar R/A, Mirpur, Dhaka",650,2,2,9500,Mirpur
2298,"Block C, Section 12, Mirpur, Dhaka",650,2,2,10500,Mirpur
2299,"Sector 1, Block E, Aftab Nagar, Dhaka",1060,2,2,13000,Aftab Nagar
2300,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur
2301,"Block B, South Banasree Project, Banasree, Dhaka",700,2,2,12000,Banasree
2302,"Dhanmondi, Dhaka",1300,4,3,30000,Dhanmondi
2303,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,9000,Mirpur
2304,"Badda, Dhaka",750,2,2,16000,Badda
2305,"Tallabag, Hazaribag, Dhaka",800,3,2,20000,Hazaribag
2306,"Old Eskaton, Eskaton, Dhaka",2200,4,4,52000,Eskaton
2307,"Sector 12, Uttara, Dhaka",800,2,2,16000,Uttara
2308,"Avenue 3, Block B, Section 11, Mirpur, Dhaka",700,2,2,12300,Mirpur
2309,"Shantinagar, Dhaka",700,2,2,16000,Shantinagar
2310,"Comfort Housing, Adabor, Dhaka",1200,3,3,18000,Adabor
2311,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",900,2,2,15000,Dhanmondi
2312,"Shahjahanpur, Dhaka",700,2,2,20000,Shahjahanpur
2313,"Maghbazar, Dhaka",650,2,1,11000,Maghbazar
2314,"North Pirerbag, Pirerbag, Mirpur, Dhaka",1000,3,2,16000,Mirpur
2315,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",900,2,2,15000,Dhanmondi
2316,"Shahjahanpur, Dhaka",600,2,2,18000,Shahjahanpur
2317,"Road No 11, Block C, Section 11, Mirpur, Dhaka",650,2,2,11000,Mirpur
2318,"Block E, Eastern Housing, Pallabi, Mirpur, Dhaka",800,2,2,11000,Mirpur
2319,"Tejgaon, Dhaka",1150,3,2,25000,Tejgaon
2320,"Agargaon, Dhaka",850,2,2,14000,Agargaon
2321,"Shyamoli, Dhaka",800,2,2,14000,Shyamoli
2322,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",800,2,2,16000,Badda
2323,"Mirpur, Dhaka",1050,3,2,15000,Mirpur
2324,"Block H, Banasree, Dhaka",1050,3,2,20000,Banasree
2325,"Block F, Banasree, Dhaka",800,2,1,12000,Banasree
2326,"Block E, Section 2, Mirpur, Dhaka",600,2,2,13000,Mirpur
2327,"South Badda, Badda, Dhaka",750,2,2,18000,Badda
2328,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",800,2,2,17000,Dhanmondi
2329,"Shamibag, Sutrapur, Dhaka",1000,3,3,23000,Sutrapur
2330,"Arambagh, Motijheel, Dhaka",600,2,1,16000,Motijheel
2331,"Agargaon, Dhaka",650,2,2,10000,Agargaon
2332,"Sector 11, Uttara, Dhaka",800,2,2,19500,Uttara
2333,"Tikatuli, Sutrapur, Dhaka",850,2,2,22000,Sutrapur
2334,"Sector 13, Uttara, Dhaka",900,2,2,20000,Uttara
2335,"Middle Badda, Badda, Dhaka",650,2,2,14000,Badda
2336,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",700,2,2,14500,Dhanmondi
2337,"Hazaribag, Dhaka",550,2,1,10000,Hazaribag
2338,"Dakkhin Paikpara, Mirpur, Dhaka",1000,2,2,14000,Mirpur
2339,"Block B, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1600,4,4,22000,Mohammadpur
2340,"Section 1, Mirpur, Dhaka",700,2,2,13000,Mirpur
2341,"South Chalabon, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan
2342,"Nawabgonj, Lalbagh, Dhaka",700,2,2,14000,Lalbagh
2343,"Dakshin Khan, Dhaka",700,2,2,10500,Dakshin Khan
2344,"Dakshin Khan, Dhaka",500,2,1,8000,Dakshin Khan
2345,"Ibrahimpur, Dhaka",800,2,2,11000,Ibrahimpur
2346,"Block B, Mansurabad Housing Society, Adabor, Dhaka",1350,3,3,23500,Adabor
2347,"Block A, Section 10, Mirpur, Dhaka",1250,3,3,20000,Mirpur
2348,"Block B, Future Town, Bochila, Mohammadpur, Dhaka",1400,3,3,15000,Mohammadpur
2349,"West Shewrapara, Mirpur, Dhaka",800,2,2,13000,Mirpur
2350,"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",650,2,2,13000,Mirpur
2351,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",850,2,2,16000,Rampura
2352,"Block C, South Banasree Project, Banasree, Dhaka",1320,3,3,18000,Banasree
2353,"Faydabad, Dakshin Khan, Dhaka",1100,3,2,15000,Dakshin Khan
